31	25	0.603242
31	25	0.602658
31	25	0.602658
31	25	1.07556
31	25	0.538418
31	25	0.638036
31	25	1.09745
31	25	1.00982
43	37	0.473439
55	61	0.616523
55	61	0.489971
37	61	0.688553
37	61	1.01698
43	61	0.365101
25	61	0.607063
55	61	0.367046
43	61	0.431767
25	61	0.680862
31	61	0.546536
37	55	0.362838
25	43	0.673582
31	55	0.456339
43	37	0.42566
25	55	0.368106
31	43	0.405606
37	55	0.42993
25	43	0.510945
31	55	0.34285
37	55	0.631013
25	43	0.552651
31	55	0.303774
43	37	0.540593
25	55	0.392949
31	55	0.391255
43	37	0.533054
25	55	0.336799
31	55	0.414971
31	43	1.13502
37	55	1.11906
25	55	0.356609
43	37	0.518422
55	61	0.396652
25	55	0.365703
31	55	0.501259
31	43	1.19932
55	61	0.534283
43	37	0.466634
25	55	0.576588
25	55	1.10194
43	37	1.13482
55	61	0.451781
31	43	0.446993
55	61	0.586616
43	37	0.375818
25	43	0.625824
31	55	0.304072
55	61	0.414964
37	55	0.439776
25	43	0.54979
31	55	0.434583
31	55	1.1518
43	61	0.426696
37	55	0.514739
25	55	0.464703
43	61	0.521541
37	55	0.379891
25	55	0.357148
31	55	0.403983
43	61	0.40912
37	55	0.372527
25	55	0.33837
31	55	0.407258
31	43	1.12283
55	61	0.548684
43	37	0.478396
25	55	0.40049
7	31	0.669281
55	7	1.15567
55	7	0.648794
43	7	0.388202
43	7	0.418108
43	7	1.39504
55	7	0.614438
43	7	1.41859
55	7	0.300481
55	7	1.19318
55	7	0.378321
85	31	0.833896
37	61	1.01943
55	85	0.312007
55	85	0.463477
43	85	1.00874
55	85	1.05309
43	85	0.596597
55	85	0.345416
55	85	0.606805
55	7	0.336637
55	85	0.528
43	85	1.16325
43	85	1.24631
55	7	0.433007
61	7	0.7553
79	31	0.476949
55	85	0.519895
