[ 11.00   0.01 -10.00, 
  21.00   0.01 -10.00, 
  23.57   0.01  42.50, 
  25.24   0.01  42.50, 
  23.57   0.01  43.00, 
  26.05   0.01  43.00, 
  23.57   0.01  43.50, 
  26.79   0.01  43.50, 
  23.57   0.01  44.00, 
  27.43   0.01  44.00, 
  23.57   0.01  44.50, 
  27.97   0.01  44.50, 
  23.57   0.01  45.00, 
  28.41   0.01  45.00, 
  23.57   0.01  45.50, 
  28.73   0.01  45.50, 
  23.57   0.01  46.00, 
  28.92   0.01  46.00, 
  23.57   0.01  46.50, 
  29.00   0.01  46.50, 
  23.57   0.01  47.00, 
  28.95   0.01  47.00, 
  23.57   0.01  47.50, 
  28.77   0.01  47.50, 
  23.57   0.01  48.00, 
  28.48   0.01  48.00, 
  23.57   0.01  48.50, 
  28.07   0.01  48.50, 
  23.57   0.01  49.00, 
  27.54   0.01  49.00, 
  23.57   0.01  49.50, 
  26.92   0.01  49.50, 
  23.57   0.01  50.00, 
  26.20   0.01  50.00, 
  23.57   0.01  50.50, 
  25.40   0.01  50.50, 
  23.57   0.01  51.00, 
  24.54   0.01  51.00, 
  23.57   0.01  51.50, 
  23.61   0.01  51.50, 
  23.57   0.01  52.00, 
  22.65   0.01  52.00, 
  23.57   0.01  52.50, 
  21.66   0.01  52.50, 
  23.57   0.01  53.00, 
  20.66   0.01  53.00, 
  23.57   0.01  53.50, 
  19.67   0.01  53.50, 
  23.57   0.01  54.00, 
  18.70   0.01  54.00, 
  23.57   0.01  54.50, 
  17.76   0.01  54.50, 
  23.57   0.01  55.00, 
  16.87   0.01  55.00, 
  23.57   0.01  55.50, 
  16.05   0.01  55.50, 
  23.57   0.01  56.00, 
  15.31   0.01  56.00, 
  23.57   0.01  56.50, 
  14.65   0.01  56.50, 
  23.57   0.01  57.00, 
  14.09   0.01  57.00, 
  23.57   0.01  57.50, 
  13.64   0.01  57.50, 
  23.57   0.01  58.00, 
  13.31   0.01  58.00, 
  23.57   0.01  58.50, 
  13.09   0.01  58.50, 
  23.57   0.01  59.00, 
  13.00   0.01  59.00, 
  23.57   0.01  59.50, 
  13.04   0.01  59.50, 
  23.57   0.01  60.00, 
  13.19   0.01  60.00, 
  23.57   0.01  60.50, 
  13.47   0.01  60.50, 
  23.57   0.01  61.00, 
  13.87   0.01  61.00, 
  23.57   0.01  61.50, 
  14.38   0.01  61.50, 
  23.57   0.01  62.00, 
  14.99   0.01  62.00, 
  23.57   0.01  62.50, 
  15.70   0.01  62.50, 
  23.57   0.01  63.00, 
  16.49   0.01  63.00, 
  23.57   0.01  63.50, 
  17.34   0.01  63.50, 
  23.57   0.01  64.00, 
  18.26   0.01  64.00, 
  23.57   0.01  64.50, 
  19.22   0.01  64.50, 
  23.57   0.01  65.00, 
  20.20   0.01  65.00, 
  23.57   0.01  65.50, 
  21.20   0.01  65.50, 
  23.57   0.01  66.00, 
  22.20   0.01  66.00, 
  23.57   0.01  66.50, 
  23.18   0.01  66.50, 
  23.57   0.01  67.00, 
  24.12   0.01  67.00, 
  23.57   0.01  67.50, 
  25.01   0.01  67.50, 
  23.57   0.01  68.00, 
  25.84   0.01  68.00, 
  23.57   0.01  68.50, 
  26.60   0.01  68.50, 
  23.57   0.01  69.00, 
  27.27   0.01  69.00, 
  23.57   0.01  69.50, 
  27.84   0.01  69.50, 
  23.57   0.01  70.00, 
  28.30   0.01  70.00, 
  23.57   0.01  70.50, 
  28.65   0.01  70.50, 
  23.57   0.01  71.00, 
  28.88   0.01  71.00, 
  23.57   0.01  71.50, 
  28.99   0.01  71.50, 
  23.57   0.01  72.00, 
  28.97   0.01  72.00, 
  23.57   0.01  72.50, 
  28.83   0.01  72.50, 
  23.57   0.01  73.00, 
  28.57   0.01  73.00, 
  23.57   0.01  73.50, 
  28.19   0.01  73.50, 
  23.57   0.01  74.00, 
  27.69   0.01  74.00, 
  23.57   0.01  74.50, 
  27.09   0.01  74.50, 
  23.57   0.01  75.00, 
  26.40   0.01  75.00, 
  23.57   0.01  75.50, 
  25.62   0.01  75.50, 
  23.57   0.01  76.00, 
  24.77   0.01  76.00, 
  23.57   0.01  76.50, 
  23.86   0.01  76.50, 
  23.57   0.01  77.00, 
  22.91   0.01  77.00, 
  23.57   0.01  77.50, 
  21.93   0.01  77.50, 
  23.57   0.01  78.00, 
  20.93   0.01  78.00, 
  23.57   0.01  78.50, 
  19.93   0.01  78.50, 
  23.57   0.01  79.00, 
  18.95   0.01  79.00, 
  23.57   0.01  79.50, 
  18.00   0.01  79.50, 
  23.57   0.01  80.00, 
  17.10   0.01  80.00, 
  23.57   0.01  80.50, 
  16.26   0.01  80.50, 
  23.57   0.01  81.00, 
  15.50   0.01  81.00, 
  23.57   0.01  81.50, 
  14.81   0.01  81.50, 
  23.57   0.01  82.00, 
  14.23   0.01  82.00, 
  23.57   0.01  82.50, 
  13.75   0.01  82.50, 
  23.57   0.01  83.00, 
  13.39   0.01  83.00, 
  23.57   0.01  83.50, 
  13.14   0.01  83.50, 
  23.57   0.01  84.00, 
  13.02   0.01  84.00, 
  23.57   0.01  84.50, 
  13.02   0.01  84.50, 
  23.57   0.01  85.00, 
  13.14   0.01  85.00, 
  23.57   0.01  85.50, 
  13.39   0.01  85.50, 
  23.57   0.01  86.00, 
  13.76   0.01  86.00, 
  23.57   0.01  86.50, 
  14.23   0.01  86.50, 
  23.57   0.01  87.00, 
  14.82   0.01  87.00, 
  23.57   0.01  87.50, 
  15.50   0.01  87.50, 
  23.57   0.01  88.00, 
  16.27   0.01  88.00, 
  23.57   0.01  88.50, 
  17.11   0.01  88.50, 
  23.57   0.01  89.00, 
  18.01   0.01  89.00, 
  23.57   0.01  89.50, 
  18.96   0.01  89.50, 
  23.57   0.01  90.00, 
  19.94   0.01  90.00, 
 ]
