 T  Chosen      Candidates            From    Delay    Data size


144s 55        37 31 49 55 61 7     55    0.290839    0.364328
145s 55        37 31 49 55 61 7     55    0.480684    0.808463
146s 55        37 31 49 55 61 7     55    0.30535    0.361103
147s 55        37 31 49 55 61 7     55    0.212494    0.251016
148s 55        37 31 49 55 61 7     55    0.537831    0.611228
149s 55        37 31 49 55 61 7 
150s 61        37 31 49 55 61 7     61    0.206232    0.269783
151s 61        37 31 49 55 61 7     61    0.577136    0.754107
152s 55        37 31 49 55 61 7     55    0.430362    0.586868
153s 55        37 31 49 55 61 7     55    0.267948    0.55672
154s 55        37 31 49 55 61 7     55    0.236253    0.489741
155s 55        37 31 49 55 61 7     55    0.242027    0.489872
156s 55        37 31 49 55 61 7     55    0.356742    0.612876
157s 55        37 31 49 55 61 7     55    0.774401    0.797397
158s 55        37 31 49 55 61 7     55    0.304172    0.565866
159s 55        37 31 49 55 61 7     55    0.382381    0.752874
160s 55        37 31 49 55 61 7     55    0.424561    0.84669
161s 55        37 31 49 55 61 7     55    0.363683    0.751344
162s 55        37 31 49 55 61 7     55    0.263966    0.453028
163s 55        37 31 49 55 61 7     55    0.467088    0.49888
164s 55        37 31 49 55 61 7 
165s 61        37 31 49 55 61 7     61    0.829977    0.734508
166s 61        37 31 49 55 61 7     61    0.770915    0.591433
167s 55        37 31 49 55 61 7     55    0.464244    0.471879
168s 55        37 31 49 55 61 7     55    0.39073    0.632096
169s 55        37 31 49 55 61 7     55    0.411546    0.658235
170s 55        37 31 49 55 61 7     55    0.63117    0.860902
171s 55        37 31 49 55 61 7     55    0.31981    0.460646
172s 55        37 31 49 55 61 7     55    0.2813    0.617283
173s 55        37 31 49 55 61 7     55    0.356413    0.556116
174s 55        37 31 49 55 61 7     55    0.198496    0.314079
175s 55        37 31 49 55 61 7     55    0.120133    0.249223
176s 55        37 31 49 55 61 7     55    0.256744    0.441811
177s 55        37 31 49 55 61 7     55    0.229205    0.39414
178s 55        37 31 49 55 61 7     55    0.683425    0.845618
179s 55        37 31 49 55 61 7     55    0.442301    0.977282
180s 55        37 31 49 55 61 7     55    0.366534    0.455596
181s 55        37 31 49 55 61 7     55    0.309255    0.384467
182s 7        37 31 49 55 61 7     7    0.381502    0.216981
183s 55        37 31 49 55 61 7     55    0.547172    0.753182
184s 55        37 31 49 55 61 7     55    0.426108    0.585957
185s 55        37 31 49 55 61 7     55    0.363351    0.720381
186s 31        37 31 49 55 61 7     31    0.289946    0.220821
187s 55        37 31 49 55 61 7     55    0.37291    0.779151
188s 55        37 31 49 55 61 7     55    0.316174    0.604459
189s 55        37 31 49 55 61 7     55    0.29412    0.580071
190s 55        37 31 49 55 61 7     55    0.536225    0.934424
191s 55        37 31 49 55 61 7     55    0.336588    0.677331
192s 55        37 31 49 55 61 7     55    0.325399    0.365573
193s 55        37 31 49 55 61 7     55    0.190835    0.253576
194s 55        37 31 49 55 61 7     55    0.846393    0.940586
195s 55        37 31 49 55 61 7     55    0.233717    0.25805
196s 55        37 31 49 55 61 7     55    0.205521    0.421858
197s 55        37 31 49 55 61 7     55    0.174977    0.359181
198s 55        37 31 49 55 61 7     55    0.215664    0.34085
199s 55        37 31 49 55 61 7     55    0.183869    0.321489
200s 55        37 31 49 55 61 7     55    0.744494    0.992241
201s 55        37 31 49 55 61 7     55    0.129303    0.280083
202s 55        37 31 49 55 61 7     55    0.186843    0.303435
203s 55        37 31 49 55 61 7     55    0.590437    0.801712
204s 55        37 31 49 55 61 7     55    0.591115    0.642622
205s 55        37 31 49 55 61 7     55    0.250471    0.292973
206s 55        37 31 49 55 61 7     55    0.229386    0.350252
207s 55        37 31 49 55 61 7     55    0.209585    0.268801
208s 55        37 31 49 55 61 7     55    0.656926    0.961681
209s 55        37 31 49 55 61 7     55    0.41868    0.7325
210s 55        37 31 49 55 61 7     55    0.376912    0.745289
211s 55        37 31 49 55 61 7     55    0.246155    0.463657
212s 55        37 31 49 55 61 7     55    0.360129    0.632816
213s 55        37 31 49 55 61 7     55    0.368343    0.48932
214s 55        37 31 49 55 61 7     55    0.407158    0.765744
215s 55        37 31 49 55 61 7     55    0.374874    0.620889
216s 55        37 31 49 55 61 7     55    0.277341    0.411109
217s 55        37 31 49 55 61 7     55    0.313844    0.539784
218s 55        37 31 49 55 61 7 
219s 61        37 31 49 55 61 7     61    0.624034    0.855825
220s 61        37 31 49 55 61 7     61    0.552087    0.871354
221s 55        37 31 49 55 61 7 
222s 61        37 31 49 55 61 7     61    0.632058    0.781056
223s 61        37 31 49 55 61 7     61    0.626462    0.904889
224s 61        37 31 49 61 7     61    0.745301    0.584192
225s 61        37 31 49 61 7     61    0.634264    0.840483
226s 61        37 31 49 61 7     61    0.701358    0.873683
227s 61        37 31 49 61 7     61    0.380024    0.47994
228s 55        37 31 49 61 7 55 
229s 61        37 31 49 61 7 55     61    0.62011    0.818191
230s 61        37 31 49 61 7 55     61    0.486058    0.728261
231s 55        37 31 49 61 7 55 
232s 61        37 31 49 61 7 55     61    0.923247    0.93118
233s 61        37 31 49 61 7 55     61    0.630254    0.828584
234s 61        37 31 49 61 7     61    0.704182    0.706932
235s 61        37 31 49 61 7     61    0.614004    0.426726
236s 61        37 31 49 61 7     61    0.545451    0.492752
237s 61        37 31 49 61 7 
238s 55        37 31 49 61 7 55     61    1.19099    0.905527    55    0.4891    0.642276
